feature,importance
failed_courses_count,0.36073550246592306
average_grade,0.31237705232239915
absences,0.11316817196563445
B_count,0.1116129003798159
A_count,0.062048978100440355
grade_range,0.016622405626918402
grade_std_dev,0.011547666390050013
study_hours_per_week,0.005961948866088953
total_credits,0.0012738035185384364
parental_support_encoded,0.0011053978558816244
stem_subject_ratio,0.0008210225340405033
parental_education_encoded,0.0007754968636256872
age,0.0006844194598568787
ethnicity_encoded,0.000584788931490147
total_courses,0.0005175867132395174
gender_encoded,0.00016285800605695018
extracurricular,0.0
total_activities,0.0
tutoring,0.0
sports,0.0
